#{"t_start": 1766549276.5863128, "env_id": "SuperMarioBros-v2"}
r,l,t
2522.0,1326,18.6285
2045.0,662,27.084846
1560.0,430,46.680786
4432.0,2375,93.477665
1575.0,1016,105.244463
1069.0,777,127.856318
1770.0,674,136.329645
2468.0,1346,167.947282
1899.0,1564,188.831905
1863.0,1266,222.155169
1060.0,166,224.685108
1418.0,301,229.381257
2310.0,770,258.605397
2353.0,887,272.916468
1003.0,1345,312.469399
1937.0,538,320.178299
1734.0,442,325.78267
1813.0,399,331.083677
1630.0,508,351.81146
1440.0,317,355.697483
2132.0,926,367.069842
1840.0,458,387.623291
2061.0,1136,405.609565
1752.0,310,410.393338
1905.0,812,439.697392
1413.0,257,443.652222
1379.0,822,457.669833
2147.0,1480,498.67838
1161.0,260,502.636103
1753.0,826,513.834282
1481.0,369,535.019845
1458.0,288,538.851924
2533.0,760,548.818721
1905.0,392,553.638789
1474.0,963,580.378446
1819.0,562,587.46619
1859.0,315,591.58797
1363.0,640,614.347394
1879.0,303,618.127525
2220.0,523,624.659839
1085.0,169,626.80864
1601.0,413,632.120204
1081.0,131,633.783501
1712.0,1661,678.205132
1408.0,1037,710.750989
2040.0,314,716.508341
1620.0,480,724.109423
1612.0,437,730.603801
1983.0,651,740.867388
1955.0,516,767.547984
1951.0,389,774.065877
1529.0,591,783.809179
1942.0,790,814.125931
1604.0,672,826.05773
1613.0,481,834.153541
1524.0,423,841.478041
2186.0,957,869.486684
2021.0,783,882.463254
1499.0,495,890.615937
2011.0,583,918.598147
1665.0,430,925.387906
1836.0,365,931.793216
3174.0,409,938.579702
1983.0,421,962.518873
1487.0,365,968.26735
2422.0,1193,988.238856
1570.0,287,993.025426
1636.0,330,1017.856311
1488.0,284,1022.518877
1591.0,471,1030.315005
2627.0,536,1039.645133
2077.0,415,1046.337066
1955.0,879,1074.239407
1635.0,340,1079.808182
2133.0,458,1087.341836
1984.0,730,1118.294328
1889.0,1335,1140.291886
2228.0,788,1171.671905
1101.0,131,1174.187708
1621.0,409,1181.0353
1479.0,240,1184.971423
1468.0,242,1188.740485
1536.0,510,1197.723615
1550.0,314,1221.236161
2261.0,666,1232.675378
1459.0,277,1237.050173
1766.0,730,1248.74868
1679.0,761,1281.588172
1065.0,170,1284.113088
1709.0,501,1292.123131
1234.0,219,1295.450158
1977.0,838,1324.539535
1427.0,200,1327.559395
1474.0,437,1334.039054
1718.0,2359,1385.130799
2539.0,1205,1419.540791
1264.0,340,1424.620169
1965.0,916,1438.100952
